Link,Salary,Company Name,Company Address
https://spb.hh.ru/vacancy/96210664?query=python&hhtmFrom=vacancy_search_list,170000 – 250000 ₽,30 БИТ,"Москва, Белорусская"
https://spb.hh.ru/vacancy/96103810?query=python&hhtmFrom=vacancy_search_list,Зарплата не указана,Электронная торговая площадка Газпромбанка,"Москва, Полянка, Третьяковская, Якиманская набережная, 2"
https://spb.hh.ru/vacancy/97430099?query=python&hhtmFrom=vacancy_search_list,до 120000 ₽,Luxkod,Москва
https://spb.hh.ru/vacancy/97149432?query=python&hhtmFrom=vacancy_search_list,80000 – 250000 ₽,ООО ВЕБ Инфраструктура,Москва
https://spb.hh.ru/vacancy/95916555?query=python&hhtmFrom=vacancy_search_list,Зарплата не указана,ООО Девман,Москва
https://spb.hh.ru/vacancy/95214807?query=python&hhtmFrom=vacancy_search_list,Зарплата не указана,Qualitica,Москва
https://spb.hh.ru/vacancy/97928841?query=python&hhtmFrom=vacancy_search_list,200000 – 300000 ₽,ООО Аптрейд,"Москва, Смоленская площадь, 5"
https://spb.hh.ru/vacancy/97919964?query=python&hhtmFrom=vacancy_search_list,от 300000 ₽,B.ART,Москва
https://spb.hh.ru/vacancy/97935132?query=python&hhtmFrom=vacancy_search_list,Зарплата не указана,idaproject,"Москва, Калужская, Профсоюзная улица, 76"
https://spb.hh.ru/vacancy/97928505?query=python&hhtmFrom=vacancy_search_list,250000 – 400000 ₽,ООО Аптрейд,"Москва, Смоленская площадь, 5"
